,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.374011385468952,0.24475051850372526,-0.11513560791077293,0.8132837483923127,0.009391530742142799,0.006834030832183251,673.7464220494003,1277.442797392759,1.0068448216556807
beta,0.275673764049208,0.057388591956662016,0.16537175682985047,0.38104960079962213,0.0011201081918781825,0.000995577756975137,2631.4438988911493,2510.2828104123746,1.002325063395303
tau,0.650721729444406,0.2046983091184651,0.32535919207026526,1.0168620276053275,0.006320246515161941,0.006677059432518511,1030.5369284062929,1538.1134553049872,1.0049445034393722
z[0],-0.14866654674797214,0.4215832221712327,-0.9069403562373103,0.6765453531652584,0.013879213817274935,0.007172617166315884,921.1887229345823,1561.62644351318,1.0058245549840983
z[1],1.1186098231647088,0.4958008704420314,0.2329292273188745,2.1057613161723165,0.016630062106825935,0.009017445192107724,886.1616586879537,1631.1757436865457,1.0085761235430974
z[2],-0.9316442133813588,0.4767475586040034,-1.8784724429477284,-0.07710984706201894,0.01465876967270719,0.008242466866934731,1044.7353243017271,1572.470273464837,1.0018726023830586
z[3],-0.4743513724623375,0.4391009629630367,-1.3050232387085752,0.3343890412809365,0.014532882515399534,0.007198943108228211,915.7018657330327,1918.9755881713372,1.0037380232237112
z[4],0.3818241230096596,0.42725598740727916,-0.3804893516227186,1.229782334312489,0.014434528447775322,0.007049303693704815,873.6965692705156,1606.7336251379102,1.0057766462274051
z[5],-1.0753592589524537,0.49608998775969126,-2.0530607168103536,-0.20538942761920242,0.015831286654625038,0.009458600863207657,973.7638917927209,1596.4129573902717,1.0026347356739613
z[6],-0.24017003344506765,0.4205824757666721,-0.9938525923112136,0.5777106762752318,0.013851751046788721,0.006831832946591151,928.4760721627474,1764.164528029601,1.0026370457917435
z[7],1.3880410043260705,0.5321353962247389,0.3728118139184716,2.3683920300331773,0.01760100978294568,0.010608155297884824,909.4687100603611,1279.0609566151304,1.0062929239226033
sigma,0.6792882181682612,0.038717981253752594,0.6085170231314733,0.7522701254602406,0.0008104682820157766,0.000610270844608408,2307.3966731213936,2489.630975036817,0.9999045682485879
