,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.5826761645051496,0.2177721671627039,0.1713000581261398,0.996732915507613,0.008124551291379286,0.006926941691609719,730.7599689435318,1072.588946215892,1.006270680359159
beta,0.5613208509433069,0.057128674571364925,0.4533703050399085,0.666560404834055,0.0010613965814576544,0.0009538029804345268,2905.4334765576864,2336.3854408136567,1.0028415014241625
tau,0.5844163551481256,0.18724481744759602,0.29131907597275947,0.9242847829283477,0.006295879638316474,0.007636578437065057,953.9010572122888,1414.3026098054988,1.003282662780645
z[0],-1.2150219255324477,0.5201110937914311,-2.1785253262125805,-0.24761363319626803,0.015206783106664016,0.008621236417863406,1145.6204033248428,1706.3596636999466,1.0034084036226238
z[1],0.9155700212618336,0.4862776452795362,0.015175797772763044,1.8809398891364115,0.015399350302761702,0.008301522233587247,976.524984643056,1320.691457237455,1.003304805768393
z[2],-1.3741470988492261,0.5360988605112161,-2.4129339325772756,-0.3922013616177702,0.01579777620377888,0.009158130483942326,1131.5576969336805,1518.6608680151128,1.0024528553607561
z[3],1.0962492938200419,0.5147312483040528,0.10463153615406631,2.0370645956613935,0.01709117827738183,0.00897105744804193,885.3877694901181,1205.3765862300272,1.0043665754884568
z[4],-0.08242688918283204,0.4427870483587414,-0.8770036942093693,0.7589796617849067,0.012797454635401946,0.007193192953290316,1194.5985458646223,1939.7082228017807,1.0021011656391345
z[5],0.15935701406482147,0.44910230935025275,-0.6591092070769486,1.0317502144331132,0.013271798623334288,0.0067766845941240935,1142.8721816098641,2320.6224436681173,1.0051999909878648
z[6],0.28461116190293156,0.4358462910094258,-0.5530305996434276,1.0825058747820333,0.01359049023224461,0.0071922790185810085,1025.2436757079925,1657.0081651366509,1.0036024454423969
z[7],0.24191491045333724,0.44512858833282576,-0.573416251734043,1.0767992526903662,0.013542617402655102,0.007433804989381643,1087.0166474464131,1993.9357378757197,1.0051093388149834
sigma,0.7162409449168838,0.04233282648927905,0.6367223253968984,0.7950506035917675,0.0007884947037106765,0.0007293805945833312,2842.972256832226,2062.7584217067188,1.0008179884078745
