,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.5763845164508052,0.22203276880608003,0.15515599039835956,0.9995007985284882,0.007947579420592096,0.008020036975095093,781.7880007377347,1013.1804993197168,1.0049515286741655
beta,0.5892425295955812,0.058340719745762014,0.47760390296483135,0.6966241783651126,0.0010502859141494222,0.0010331115264249093,3100.3081972256014,2454.991586455963,0.9999634613039449
sigma,0.7162813199138918,0.04155632960684798,0.6362503160265995,0.7921786979664527,0.0008039486118666804,0.0007244474587332649,2701.6724087717785,2509.247745361845,1.0008065936649033
tau,0.581510066185514,0.1925955785587911,0.2735373986900446,0.9159333603504809,0.007709396111384392,0.008646479581550641,655.268196801085,1115.969614543048,1.002432173803848
z[0],-1.2193622363048728,0.5327694256222106,-2.1976664029291166,-0.22312366619946072,0.01996453066200671,0.009336950817428136,706.8170405316415,1232.571440862896,1.0063415275869607
z[1],0.9214658154106439,0.49181374431081115,0.08982942249642452,1.945355243494929,0.015126576347444388,0.00821311255487096,1054.3607491986354,1906.6491775585769,1.000994907400718
z[2],-1.3714004297025835,0.5607785836746847,-2.4387443946856426,-0.3326723654994822,0.02030459388871248,0.010010482773818241,761.935543247464,1211.0200564773072,1.0053488700152033
z[3],1.0954556716520605,0.5080965821166132,0.19884094782119088,2.0962046250417705,0.015434317510906738,0.008063015730101347,1064.608685693451,1546.4670726730228,1.000790238598734
z[4],-0.08591902995143413,0.44168878830117264,-0.9232236837764829,0.7363505631986621,0.012876587829290251,0.007022497024723687,1171.949937551722,2151.9401048697196,1.0036842292256143
z[5],0.17920094877271547,0.45915824147975387,-0.6561324037159392,1.0454310797512514,0.013177626413733653,0.007628998407801276,1216.2451977298733,2073.617727192218,1.0026012519501437
z[6],0.310993365148549,0.45186481998220857,-0.5571336256730738,1.1494046074764703,0.013239646078391358,0.0074109575025638665,1160.8473383071657,2186.692040709258,1.002724427303727
z[7],0.248235189920071,0.44823560474168495,-0.590936410505135,1.0863999623484175,0.01285726622882799,0.007330755944620586,1210.8639321907542,2056.2250303497,1.0023636296962617
