,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.3656209338784458,0.2366652671619282,-0.09356736216569572,0.8073758332734685,0.00836498033556851,0.006039914572395206,799.7280876151577,889.6316720247944,1.0024854984083365
beta,0.27318238240273285,0.0538336082817285,0.1667019914869671,0.36788690344035485,0.0009597770680058719,0.000846126400438285,3167.7435188067143,2437.0052530555276,1.0010289786550173
sigma,0.6782277042809297,0.03954867993810385,0.611043573286393,0.7589655510891173,0.000784477846249399,0.0006285745762639497,2544.9879982950724,2490.292694318513,1.002919306526668
tau,0.6573394596686868,0.21791802234000834,0.3369020863516292,1.0718210694571897,0.009021858792029845,0.0077171681918211206,588.393702491874,1101.342143413897,1.005048357676592
z[0],-0.12968828643576255,0.4207588829392205,-0.990202145615823,0.610030508312844,0.012869772401617794,0.007526730589024862,1065.4909270752348,1512.4386726426378,1.0019304234720419
z[1],1.129620715487686,0.504532255623624,0.16127583314515728,2.023352753191458,0.01871342200122061,0.009469780890313029,721.8831664752125,1529.4984473518884,1.0051412352681748
z[2],-0.9261303726286617,0.4846357076111983,-1.82399647605991,-0.04226705587880724,0.015565282333755943,0.009291811727860005,969.9582893735959,1649.9039255531618,1.0006439225399135
z[3],-0.4558253940005958,0.4369100174366842,-1.2984805065186436,0.33596419540168687,0.012737910156593311,0.00803300549054416,1185.5105386128696,1914.9684689507474,1.0003448136580249
z[4],0.39631532008083376,0.425898180508064,-0.3808586519981021,1.2045579781510116,0.013948458642715055,0.007854065957114612,943.2244216416944,1576.8448581267135,1.0029484010260326
z[5],-1.0555366122952243,0.5055765561344717,-2.060327703778897,-0.18114322421469653,0.016631367482480557,0.009269563733527065,914.1491259978729,1282.7248273715657,1.0007953901735482
z[6],-0.22301413870895448,0.42837525792496634,-1.0227171363825105,0.5977324176942767,0.012976634001205118,0.008182071527812047,1088.7761311597103,1657.0978672844042,1.0018846355855897
z[7],1.4036241392893967,0.5431186932116011,0.39453730790973046,2.4533768772227686,0.020927247369124626,0.01040676696420191,683.9443628787888,1558.85488911407,1.0057871311774353
