,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.36319240956003146,0.24254419335197952,-0.10319607728350702,0.7968971652941745,0.008498488999034309,0.007468409633606665,845.6149464730701,898.9127488880215,1.0034792877391596
beta,0.26166023053285553,0.05374477947721433,0.15700474885896004,0.3566117766092391,0.0010261928747916078,0.0009168864227382726,2751.8310129349006,2693.818737764159,1.0004002818091506
sigma,0.6778137170047039,0.03865965897553341,0.6074449244010768,0.7530530017831051,0.0007820851470354582,0.000576535874753393,2446.715417500478,2748.7413980081005,1.0017686358229825
tau,0.6519641492898138,0.21117232919587106,0.3161232058662642,1.0194655204476994,0.007303683155710178,0.007400884108272434,819.7817932842997,1201.8194193498584,1.0038922023815653
z[0],-0.1383258677306869,0.427912165675316,-0.9719305612506426,0.639239596579324,0.012923988152687697,0.008116980479552675,1100.0769879957995,1493.590347442138,1.002672695705291
z[1],1.1349180615482515,0.49473027932889935,0.23275210580001976,2.08689126655245,0.015643163923371842,0.009129368722899529,999.5071573848371,1487.516259355636,1.0062390656630058
z[2],-0.9378878948388292,0.5003684756030129,-1.9285138953401555,-0.047942672486723105,0.01579083611866506,0.009915073464966841,998.6685923089069,1290.001021309231,1.0016574823657658
z[3],-0.4693525043477955,0.4449458549488848,-1.267982704392158,0.39999433079483454,0.013411913509081237,0.008319453463624327,1095.6468423500648,1570.9442891540082,1.0007447109948038
z[4],0.4059580974347826,0.4330230993108397,-0.42416414864265833,1.1948381256331617,0.013234390842624353,0.008993887841648418,1084.52361283298,1694.96866115416,1.0030607365553583
z[5],-1.0564658232929507,0.5083204371154758,-2.0349174333478817,-0.12716637509109685,0.01630444620430955,0.010047703719122749,961.3931844591302,1219.8223716868745,1.001728980081218
z[6],-0.2304058116484286,0.43537370445205925,-0.9911002139785055,0.6747216480871652,0.012985886187238437,0.00809456598814252,1119.9298676591322,1503.901690662399,1.0007013179034552
z[7],1.3985007377964391,0.5340892650292595,0.4892276140093572,2.491219101686678,0.01715244655207526,0.009550816059852843,962.6643677156023,1798.2933517747824,1.0063530941453502
